id,url,is_valid,phishing_url,submission_time
8237596,https://phishtank.org/phish_detail.php?phish_id=8237596,Unknown,https://www.cappellopasticceria.it/aruba/index.php,Jul 25th 2023 12:05 PM
8237595,https://phishtank.org/phish_detail.php?phish_id=8237595,Unknown,http://golflincs.co.uk.travelwatchdog.com/,Jul 25th 2023 12:05 PM
8237594,https://phishtank.org/phish_detail.php?phish_id=8237594,Unknown,http://www.henning-grothkop.info/,Jul 25th 2023 12:00 PM
8237593,https://phishtank.org/phish_detail.php?phish_id=8237593,Unknown,http://www.henning-grothkop-academy.info/,Jul 25th 2023 12:00 PM
8237592,https://phishtank.org/phish_detail.php?phish_id=8237592,Unknown,https://caixa.hojepontos.us/,Jul 25th 2023 11:55 AM
8237591,https://phishtank.org/phish_detail.php?phish_id=8237591,Unknown,https://pakcnakespsaw.com,Jul 25th 2023 11:53 AM
8237590,https://phishtank.org/phish_detail.php?phish_id=8237590,Unknown,https://packnakespsaw.com,Jul 25th 2023 11:52 AM
8237589,https://phishtank.org/phish_detail.php?phish_id=8237589,VALID PHISH,https://mailverficationudate24july.yolasite.com/,Jul 25th 2023 11:52 AM
8237588,https://phishtank.org/phish_detail.php?phish_id=8237588,Unknown,https://packanekspsaw.com,Jul 25th 2023 11:50 AM
8237587,https://phishtank.org/phish_detail.php?phish_id=8237587,Unknown,https://pancksace.net/dre.html,Jul 25th 2023 11:50 AM
8237586,https://phishtank.org/phish_detail.php?phish_id=8237586,Unknown,https://panksake.com/dre.html,Jul 25th 2023 11:50 AM
8237585,https://phishtank.org/phish_detail.php?phish_id=8237585,VALID PHISH,http://bitkub688.cc,Jul 25th 2023 11:49 AM
8237584,https://phishtank.org/phish_detail.php?phish_id=8237584,VALID PHISH,https://pagamenti.staffasestenza.co/6432-123-1/3a1a2e97a906e2b/login.php?#_3a1a2e97a906e2bdc,Jul 25th 2023 11:48 AM
