processed_url,url_length,label
http www jcelectronicsperu com,52,0.0
http  sourceforge net,92,1.0
http  allrecipes com,86,1.0
http  doodle com,87,1.0
http  extratorrent cc,118,1.0
http  torcache net,158,1.0
https  twitter com,263,1.0
http  clien net,106,1.0
http  pastehtml com,40,0.0
https  paytm com,92,1.0
http  weathernews jp,89,1.0
http cieloganheja net46 net,43,0.0
http  fanpage gr,222,1.0
http  wikiwiki jp,107,1.0
http  indianexpress com,96,1.0
http  kenh14 vn,105,1.0
http  persianblog ir,104,1.0
http  codecanyon net,168,1.0
http www maasveren nl,48,0.0
http  askubuntu com,111,1.0
http noticias uol com.br,143,1.0
http  steamcommunity com,104,1.0
http  techcrunch com,132,1.0
http  pastehtml com,40,0.0
http espn go com,108,1.0
http  taboola com,117,1.0
http  v-sys org,41,0.0
http  superuser com,103,1.0
http  olx pl,116,1.0
http  superuser com,103,1.0
http  twitter com,307,1.0
http  atwiki jp,178,1.0
http  ap org,101,1.0
http appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify2 id-app7 net,199,0.0
http  torcache net,150,1.0
http  torcache net,246,1.0
http  kotaku com,111,1.0
http  distractify com,87,1.0
http  venturebeat com,103,1.0
http  putlocker is,97,1.0
http  deadspin com,121,1.0
http  serverfault com,88,1.0
http  qingdaonews com,87,1.0
http  eenadu net,83,1.0
http downloads stctek com,49,0.0
https  serverfault com,83,1.0
http www formchamp com,45,0.0
http  dichvudaugia com,92,0.0
http  torrentdn com,103,1.0
http  thenextweb com,110,1.0
http  distractify com,87,1.0
https  medium com,103,1.0
http  fanpage gr,231,1.0
https  lastpass com,83,1.0
http  correios com.br,136,1.0
https  e-infosafe com,39,0.0
http  emgn com,107,1.0
http  torrentdn com,114,1.0
http  distractify com,87,1.0
http  variety com,94,1.0
http  pastehtml com,40,0.0
http  uproxx com,100,1.0
http www jinxiuyuanlin com,115,0.0
http  allegro pl,105,1.0
http  web tv,90,1.0
http  seasonvar ru,84,1.0
http  nypost com,84,1.0
http  olx ro,112,1.0
http  yourlust com,126,1.0
http  superuser com,97,1.0
http  motthegioi vn,97,1.0
http  torrentdn com,114,1.0
http  nguyentandung org,86,1.0
http  elcomercio pe,153,1.0
http  pastehtml com,40,0.0
http  udn com,123,1.0
http  pornsharing com,83,1.0
http  mic com,118,1.0
http  syosetu com,96,1.0
http  pikabu ru,100,1.0
http  torcache net,165,1.0
http  maybank2u com.my,133,1.0
http www.up-date.info-pay-pal gamesopd com,54,0.0
http  techcrunch com,130,1.0
http  tunein com,84,1.0
http  plarium com,100,1.0
http  tunein com,86,1.0
http  filehippo com,89,1.0
http  moviepilot com,108,1.0
http  babal net,275,1.0
http wwwpromocaor7ganhemoedas blogspot com,45,0.0
http  web de,94,1.0
http  kienthuc net.vn,97,1.0
http  comicbook com,93,1.0
http  atwiki jp,139,1.0
http  sfglobe com,101,1.0
http  mashable com,87,1.0
http  indianexpress com,115,1.0
http  distractify com,87,1.0
http  babal net,325,1.0
http  babal net,237,1.0
http  kotaku com,83,1.0
http  superuser com,99,1.0
http  depositphotos com,100,1.0
http  torrentdn com,100,1.0
http  putlocker is,86,1.0
http  seesaawiki jp,92,1.0
http  allegro pl,123,1.0
http  metro co.uk,96,1.0
http  stackoverflow com,100,1.0
http  kenh14 vn,110,1.0
http  allegro pl,211,1.0
http  web de,149,1.0
http  cookpad com,108,1.0
http  ilansorgula com,75,0.0
http  pastehtml com,40,0.0
http  indianexpress com,118,1.0
http  pastehtml com,40,0.0
http www iusedtobeyou com,61,0.0
http  allrecipes com,90,1.0
http dreamweaver0177 blogspot com,37,0.0
http  serverfault com,93,1.0
http  web de,88,1.0
http  mic com,119,1.0
http  69.162.73.82 ,67,0.0
http  tobogo net,104,1.0
http  olx ua,125,1.0
http  tobogo net,107,1.0
http  bdnews24 com,103,1.0
http www buurtenbijera nl,79,0.0
http  allegro pl,93,1.0
http  nguyentandung org,91,1.0
http  sourceforge net,126,1.0
http  superuser com,111,1.0
http abc go com,120,1.0
http service.confirm.paypal.cmd.cgi aficion fr,49,0.0
http  uproxx com,103,1.0
http  web tv,90,1.0
http  marvel com,84,1.0
http www tts-uae com,67,0.0
http  olx co.id,83,1.0
http  pastehtml com,40,0.0
http  maybank2u com.my,172,1.0
http  buzzfil net,119,1.0
http  mic com,111,1.0
http  thechive com,110,1.0
http  motthegioi vn,121,1.0
http  seekingalpha com,88,1.0
http  interpark com,123,1.0
http  olx ro,112,1.0
http  ringring vn,86,1.0
http  patch com,100,1.0
http  buzzfil net,114,1.0
http  otomoto pl,86,1.0
http  olx ua,111,1.0
https  www gov.uk,92,1.0
http  nypost com,83,1.0
http  olx co.id,85,1.0
http  ink361 com,83,1.0
http  mic com,95,1.0
http  icebrrg com,52,0.0
http  hubpages com,87,1.0
http  www nhs.uk,94,1.0
http  xvideo-jp com,84,1.0
http us.battle.net.login.en rrweb asia,68,0.0
http  109.123.69.62 ,54,0.0
http us.battle.net.ok iiweb asia,116,0.0
http secured.creditapply.paypal.verification.account prospectaconsultoria com,95,0.0
http  aljazeera net,107,1.0
http  twitter com,280,1.0
http  twitter com,276,1.0
http  themeforest net,90,1.0
http www sz-leteng com,115,0.0
http  censor net.ua,184,1.0
http  correios com.br,122,1.0
http appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify4 srv-woa1 co.uk,202,0.0
http  deadspin com,85,1.0
http  skyrock com,110,1.0
http  tune pk,84,1.0
http  nguyentandung org,84,1.0
http  correios com.br,126,1.0
http  tobogo net,108,1.0
http  sourceforge net,109,1.0
http  tobogo net,113,1.0
http  olx ro,118,1.0
http  codecanyon net,93,1.0
http  torcache net,137,1.0
http  babal net,187,1.0
http  ero-advertising com,88,1.0
http  plarium com,103,1.0
https www devaworld com,161,0.0
http  katproxy com,94,1.0
http  jmsswc com,47,0.0
http  codecanyon net,92,1.0
http www mycheapdisneyvacation com,77,0.0
http  olx in,103,1.0
http  distractify com,87,1.0
https  privatbank ua,86,1.0
http  motthegioi vn,118,1.0
http vps 01hostings com,125,0.0
http google.doc.file2818 emerylee ca,72,0.0
http  txellwebs com,101,0.0
http  rt com,86,1.0
http  comicbook com,97,1.0
http  tobogo net,112,1.0
http  sfglobe com,107,1.0
http  distractify com,87,1.0
http  jezebel com,101,1.0
http  torcache net,153,1.0
https  privatbank ua,85,1.0
http  web de,158,1.0
https  twitter com,224,1.0
http  genius com,189,1.0
http  indianexpress com,119,1.0
http  hubpages com,86,1.0
http  olx in,125,1.0
http  how-old net,83,1.0
http  kenh14 vn,101,1.0
https spreadsheets google com,95,0.0
http  olx ua,84,1.0
http  deadspin com,104,1.0
http  pastehtml com,40,0.0
http  ap org,99,1.0
http www bruecke-info at,53,0.0
http  olx ro,86,1.0
http www gxyzx com,126,0.0
http  kienthuc net.vn,104,1.0
http  1337x to,106,1.0
http www caminosdepapel com.ar,69,0.0
http  bestblackhatforum com,106,1.0
http www gxyzx com,126,0.0
http  babal net,161,1.0
http  tobogo net,110,1.0
http  motthegioi vn,119,1.0
http  thenextweb com,132,1.0
http  serverfault com,88,1.0
http  seesaawiki jp,95,1.0
http  babal net,220,1.0
http  tobogo net,113,1.0
http  tobogo net,110,1.0
http  mirtesen ru,181,1.0
http  pikabu ru,88,1.0
http www marketingbyinternet com,71,0.0
https home comcast net,71,0.0
https  paytm com,84,1.0
http  ap org,102,1.0
https  dribbble com,86,1.0
https  ifttt com,93,1.0
http  allegro pl,93,1.0
http  bit ly,107,0.0
http  brizcentr com,64,0.0
http www bhartimuslim com,129,0.0
http  thenextweb com,129,1.0
http  getir net,116,0.0
http  nesn com,90,1.0
http  techcrunch com,86,1.0
http  screenrant com,95,1.0
http  thenextweb com,121,1.0
https  twitter com,154,1.0
http  interpark com,198,1.0
http  nypost com,87,1.0
http  cox com,100,1.0
http  mic com,118,1.0
http www kholood com.sa,116,0.0
http  stackoverflow com,95,1.0
http  distractify com,87,1.0
http  administramos net,54,0.0
http  motthegioi vn,146,1.0
http  olx ro,110,1.0
http  mashable com,88,1.0
http  superuser com,107,1.0
http  thesecondhalfonline com,77,0.0
http  kenh14 vn,105,1.0
http  nypost com,85,1.0
http  xhamster com,95,1.0
http  olx ro,85,1.0
http  megogo net,115,1.0
http  onedio com,87,1.0
https  hootsuite com,91,1.0
http  shziang cn,127,0.0
http  searchengineland com,94,1.0
http  twitter com,282,1.0
https  www gov.uk,85,1.0
http  sourceforge net,193,1.0
http  censor net.ua,85,1.0
http  elitedaily com,83,1.0
http  torcache net,161,1.0
http  diply com,95,1.0
http  stackoverflow com,96,1.0
http  mic com,120,1.0
http distrimarsanitarios soydg com,92,0.0
http  plarium com,98,1.0
http  olx pl,118,1.0
http  mylust com,91,1.0
https  variety com,86,1.0
http  superuser com,101,1.0
http  babal net,210,1.0
http  aljazeera net,107,1.0
http  thenextweb com,144,1.0
http  motthegioi vn,87,1.0
http  babal net,181,1.0
http  akhbarelyom com,115,1.0
http  olx co.id,107,1.0
http  bigcinema tv,99,1.0
http  pastehtml com,40,0.0
http  torcache net,156,1.0
http suspected 96 lt,41,0.0
http  distractify com,87,1.0
http  fcastro cl,60,0.0
http  censor net.ua,89,1.0
http  campaign-shaker com,60,0.0
http www bccplanning com,55,0.0
http  thenextweb com,93,1.0
http  babal net,161,1.0
http  tobogo net,108,1.0
http  qz com,87,1.0
http  web tv,90,1.0
http www bluebelluk com,139,0.0
http  digg com,90,1.0
http  torcache net,163,1.0
http www clcatv cn,104,0.0
http  interpark com,180,1.0
http  ap org,92,1.0
http  kenh14 vn,108,1.0
http  buzzfil net,151,1.0
http  cheezburger com,120,1.0
http  pastehtml com,40,0.0
http  babal net,156,1.0
http  mashable com,84,1.0
http  serverfault com,104,1.0
http  distractify com,87,1.0
http  irecommend ru,107,1.0
http  censor net.ua,125,1.0
http  mtsindia in,85,1.0
http  plarium com,85,1.0
http  kotaku com,87,1.0
http  likemag com,115,1.0
http  yourlust com,93,1.0
